Timestamp,x57 Cell 1 Current,x57 Cell 1 Voltage,x57 Cell 1 Resistance,x57 Cell 1 Temp,x57 Cell 2 Current,x57 Cell 2 Voltage,x57 Cell 2 Resistance,x57 Cell 2 Temp,x57 Cell 3 Current,x57 Cell 3 Voltage,x57 Cell 3 Resistance,x57 Cell 3 Temp,x57 Cell 4 Current,x57 Cell 4 Voltage,x57 Cell 4 Resistance,x57 Cell 4 Temp,x58 Cell 5 Current,x58 Cell 5 Voltage,x58 Cell 5 Resistance,x58 Cell 5 Temp,x58 Cell 6 Current,x58 Cell 6 Voltage,x58 Cell 6 Resistance,x58 Cell 6 Temp,x58 Cell 7 Current,x58 Cell 7 Voltage,x58 Cell 7 Resistance,x58 Cell 7 Temp,x58 Cell 8 Current,x58 Cell 8 Voltage,x58 Cell 8 Resistance,x58 Cell 8 Temp,x59 Cell 9 Current,x59 Cell 9 Voltage,x59 Cell 9 Resistance,x59 Cell 9 Temp,x59 Cell 10 Current,x59 Cell 10 Voltage,x59 Cell 10 Resistance,x59 Cell 10 Temp,x59 Cell 11 Current,x59 Cell 11 Voltage,x59 Cell 11 Resistance,x59 Cell 11 Temp,x59 Cell 12 Current,x59 Cell 12 Voltage,x59 Cell 12 Resistance,x59 Cell 12 Temp,x60 Cell 13 Current,x60 Cell 13 Voltage,x60 Cell 13 Resistance,x60 Cell 13 Temp,x60 Cell 14 Current,x60 Cell 14 Voltage,x60 Cell 14 Resistance,x60 Cell 14 Temp,x60 Cell 15 Current,x60 Cell 15 Voltage,x60 Cell 15 Resistance,x60 Cell 15 Temp,x60 Cell 16 Current,x60 Cell 16 Voltage,x60 Cell 16 Resistance,x60 Cell 16 Temp
05-01-2026-Fri 12-46-43-PM,80.8,5.076,0.07852722772277228,,90.8,5.072,0.06982378854625551,,77.3,5.076,0.08208279430789134,,46.6,5.12,0.13733905579399142,,51.0,5.072,0.12431372549019608,,60.9,5.1,0.10467980295566502,,46.6,5.052,0.13551502145922745,,63.0,5.06,0.1003968253968254,,92.9,5.048,0.06792249730893433,,62.1,5.056,0.10177133655394524,,84.1,5.04,0.07491082045184305,,71.2,5.096,0.08946629213483145,,71.5,5.016,0.08769230769230771,,75.3,5.076,0.08426294820717133,,63.2,5.008,0.09905063291139239,,78.8,5.0,0.07931472081218274,
05-01-2026-Fri 12-46-45-PM,78.2,5.084,0.08126598465473144,,88.4,5.08,0.07183257918552036,,75.1,5.084,0.08462050599201065,,45.8,5.124,0.1398471615720524,,49.4,5.08,0.12854251012145748,,59.4,5.104,0.10740740740740741,,44.9,5.06,0.1408685968819599,,61.0,5.064,0.1037704918032787,,90.8,5.052,0.06954845814977974,,60.2,5.056,0.10498338870431895,,81.6,5.048,0.07732843137254902,,69.5,5.104,0.09179856115107914,,70.8,5.028,0.08877118644067795,,73.6,5.08,0.08627717391304347,,62.1,5.012,0.10088566827697262,,76.7,5.008,0.08161668839634942,
05-01-2026-Fri 12-46-46-PM,76.8,5.088,0.0828125,,87.3,5.084,0.07279495990836196,,74.4,5.084,0.08541666666666664,,45.4,5.128,0.14118942731277537,,49.4,5.08,0.12854251012145748,,59.1,5.108,0.10803722504230118,,44.5,5.064,0.14224719101123598,,60.6,5.068,0.10453795379537953,,89.6,5.06,0.07059151785714286,,59.4,5.06,0.10648148148148147,,80.7,5.052,0.0782527881040892,,68.7,5.104,0.0928675400291121,,70.7,5.032,0.08896746817538898,,72.9,5.08,0.08710562414266118,,61.3,5.016,0.10228384991843394,,76.0,5.016,0.0825,
05-01-2026-Fri 12-46-48-PM,76.3,5.088,0.0833551769331586,,86.6,5.088,0.07344110854503465,,73.8,5.088,0.0861788617886179,,45.5,5.128,0.14087912087912088,,48.8,5.08,0.13012295081967215,,58.6,5.108,0.10895904436860068,,43.4,5.064,0.14585253456221198,,60.0,5.072,0.10566666666666667,,88.8,5.064,0.07128378378378378,,59.1,5.064,0.10710659898477158,,80.1,5.052,0.07883895131086142,,68.3,5.108,0.09348462664714495,,70.4,5.032,0.0893465909090909,,72.3,5.084,0.08789764868603042,,61.2,5.02,0.10253267973856207,,75.8,5.016,0.08271767810026386,
05-01-2026-Fri 12-47-08-PM,77.4,5.088,0.0821705426356589,,87.5,5.088,0.0726857142857143,,74.8,5.088,0.08502673796791445,,45.2,5.132,0.14192477876106194,,47.4,5.088,0.13417721518987344,,58.9,5.112,0.10848896434634975,,43.6,5.068,0.14529816513761468,,59.8,5.072,0.10602006688963211,,87.1,5.068,0.0727324913892078,,57.5,5.068,0.11017391304347825,,78.7,5.056,0.08030495552731892,,67.1,5.112,0.09523099850968705,,69.7,5.032,0.0902439024390244,,71.7,5.088,0.08870292887029288,,59.6,5.024,0.10536912751677852,,74.4,5.02,0.08434139784946235,
05-01-2026-Fri 12-47-25-PM,75.6,5.092,0.0841931216931217,,85.8,5.092,0.07418414918414917,,73.3,5.092,0.08683492496589358,,44.5,5.136,0.14426966292134832,,46.4,5.088,0.1370689655172414,,57.7,5.112,0.11074523396880416,,42.7,5.068,0.1483606557377049,,58.3,5.076,0.1088336192109777,,87.1,5.068,0.0727324913892078,,57.1,5.072,0.11103327495621716,,77.5,5.056,0.08154838709677419,,67.0,5.112,0.0953731343283582,,69.3,5.04,0.09090909090909093,,71.4,5.092,0.08914565826330531,,59.4,5.024,0.10572390572390573,,73.5,5.02,0.08537414965986395,
05-01-2026-Fri 12-47-26-PM,73.9,5.096,0.08619756427604872,,84.2,5.096,0.07565320665083136,,71.8,5.096,0.08871866295264624,,44.4,5.136,0.1445945945945946,,46.1,5.092,0.1380694143167028,,56.5,5.116,0.1131858407079646,,42.1,5.072,0.15059382422802853,,57.3,5.08,0.11082024432809774,,85.3,5.068,0.07426729191090269,,55.8,5.072,0.11362007168458783,,76.6,5.064,0.08263707571801568,,65.7,5.116,0.09733637747336377,,68.6,5.04,0.09183673469387756,,70.3,5.096,0.09061166429587482,,58.2,5.032,0.10807560137457044,,72.5,5.024,0.08662068965517243,
05-01-2026-Fri 12-47-52-PM,74.7,5.1,0.08534136546184738,,84.7,5.1,0.07526564344746163,,72.4,5.1,0.08805248618784528,,44.0,5.132,0.14579545454545456,,45.3,5.096,0.14061810154525387,,56.2,5.12,0.11387900355871887,,42.0,5.072,0.15095238095238095,,57.3,5.08,0.11082024432809774,,85.9,5.068,0.07374854481955762,,55.8,5.076,0.11370967741935484,,76.5,5.064,0.08274509803921569,,65.4,5.116,0.09778287461773699,,68.4,5.044,0.0921783625730994,,70.6,5.096,0.09022662889518415,,58.2,5.032,0.10807560137457044,,72.3,5.028,0.08692946058091286,
05-01-2026-Fri 12-47-53-PM,72.8,5.1,0.08756868131868131,,82.9,5.1,0.07689987937273823,,71.0,5.1,0.0897887323943662,,43.6,5.14,0.1473623853211009,,44.7,5.096,0.1425055928411633,,55.2,5.124,0.11603260869565216,,41.2,5.08,0.15412621359223302,,55.6,5.084,0.11429856115107911,,83.6,5.076,0.07589712918660287,,54.4,5.08,0.1167279411764706,,75.1,5.068,0.08435419440745673,,64.3,5.12,0.0995334370139969,,67.6,5.048,0.09334319526627222,,69.6,5.096,0.09152298850574712,,56.9,5.032,0.11054481546572936,,71.2,5.032,0.08834269662921349,
05-01-2026-Fri 12-48-48-PM,69.5,5.112,0.09194244604316547,,79.3,5.108,0.08051702395964691,,68.0,5.112,0.09397058823529411,,42.7,5.148,0.15070257611241217,,42.6,5.108,0.14988262910798122,,52.5,5.128,0.1220952380952381,,39.2,5.092,0.1623724489795918,,52.6,5.096,0.12110266159695816,,80.1,5.088,0.07940074906367042,,51.1,5.092,0.12455968688845401,,71.6,5.08,0.08868715083798882,,61.1,5.132,0.10499181669394435,,64.6,5.06,0.09791021671826626,,66.4,5.112,0.09623493975903614,,53.7,5.052,0.11759776536312848,,67.9,5.044,0.09285714285714285,
