Timestamp,25pct Cell 1 Current,25pct Cell 1 Voltage,25pct Cell 1 Resistance,25pct Cell 1 Temp,25pct Cell 2 Current,25pct Cell 2 Voltage,25pct Cell 2 Resistance,25pct Cell 2 Temp,25pct Cell 3 Current,25pct Cell 3 Voltage,25pct Cell 3 Resistance,25pct Cell 3 Temp,25pct Cell 4 Current,25pct Cell 4 Voltage,25pct Cell 4 Resistance,25pct Cell 4 Temp,20pct Cell 5 Current,20pct Cell 5 Voltage,20pct Cell 5 Resistance,20pct Cell 5 Temp,20pct Cell 6 Current,20pct Cell 6 Voltage,20pct Cell 6 Resistance,20pct Cell 6 Temp,20pct Cell 7 Current,20pct Cell 7 Voltage,20pct Cell 7 Resistance,20pct Cell 7 Temp,20pct Cell 8 Current,20pct Cell 8 Voltage,20pct Cell 8 Resistance,20pct Cell 8 Temp,15pct Cell 9 Current,15pct Cell 9 Voltage,15pct Cell 9 Resistance,15pct Cell 9 Temp,15pct Cell 10 Current,15pct Cell 10 Voltage,15pct Cell 10 Resistance,15pct Cell 10 Temp,10pct Cell 11 Current,10pct Cell 11 Voltage,10pct Cell 11 Resistance,10pct Cell 11 Temp,10pct Cell 12 Current,10pct Cell 12 Voltage,10pct Cell 12 Resistance,10pct Cell 12 Temp,5pct Cell 13 Current,5pct Cell 13 Voltage,5pct Cell 13 Resistance,5pct Cell 13 Temp,5pct Cell 14 Current,5pct Cell 14 Voltage,5pct Cell 14 Resistance,5pct Cell 14 Temp,5pct Cell 15 Current,5pct Cell 15 Voltage,5pct Cell 15 Resistance,5pct Cell 15 Temp,5pct Cell 16 Current,5pct Cell 16 Voltage,5pct Cell 16 Resistance,5pct Cell 16 Temp
10-24-2025-Fri 17-25-31-PM,100.4,5.38,0.0669820717131474,22.438,132.4,5.372,0.050717522658610265,22.7597,122.2,5.38,0.055032733224222585,22.658,96.8,5.428,0.07009297520661158,22.7251,97.0,5.364,0.06912371134020619,22.737,88.6,5.404,0.07624153498871332,22.692,125.8,5.344,0.05310015898251193,22.714,71.7,5.356,0.09337517433751744,22.7928,87.7,5.488,0.07822120866590651,22.1171,104.2,5.492,0.06588291746641076,22.455,52.6,5.512,0.13098859315589353,22.4888,60.6,5.54,0.11427392739273927,22.669,30.3,5.5,0.2268976897689769,22.7928,42.3,5.548,0.16394799054373527,22.714,40.1,5.496,0.17132169576059852,22.6581,28.6,5.508,0.24073426573426573,22.725
10-24-2025-Fri 17-25-34-PM,97.1,5.408,0.06961894953656027,22.489,127.4,5.404,0.053021978021978014,22.8605,113.5,5.412,0.05960352422907489,22.669,92.6,5.46,0.07370410367170627,22.6581,92.4,5.392,0.07294372294372294,22.737,85.2,5.432,0.07969483568075118,22.692,117.9,5.38,0.057039864291772685,22.804,70.2,5.388,0.09594017094017093,22.8267,81.6,5.508,0.084375,22.1171,100.2,5.508,0.06871257485029941,22.489,49.5,5.532,0.13969696969696968,22.4888,58.8,5.564,0.11828231292517007,22.669,29.4,5.524,0.2348639455782313,22.8605,41.2,5.564,0.16881067961165047,22.816,39.3,5.52,0.17557251908396945,22.8944,26.3,5.524,0.2625475285171103,22.861
10-24-2025-Fri 17-25-36-PM,95.6,5.424,0.07092050209205022,22.54,123.8,5.42,0.0547253634894992,22.9283,109.9,5.428,0.06173794358507734,22.692,90.0,5.476,0.07605555555555556,22.7597,90.0,5.412,0.07516666666666667,22.793,82.5,5.452,0.0826060606060606,22.692,112.6,5.396,0.059902309058614565,22.827,69.2,5.404,0.09761560693641619,22.7597,79.0,5.524,0.08740506329113924,22.151,97.5,5.52,0.07076923076923076,22.489,47.8,5.548,0.14508368200836821,22.3872,57.6,5.572,0.12092013888888889,22.692,28.8,5.536,0.24027777777777776,22.9283,40.3,5.576,0.1729528535980149,22.883,38.4,5.532,0.180078125,23.0299,25.7,5.536,0.26926070038910505,22.895
10-24-2025-Fri 17-25-39-PM,94.3,5.44,0.07211028632025451,22.489,121.8,5.432,0.05574712643678161,22.8605,106.6,5.436,0.06374296435272045,22.669,88.1,5.48,0.07775255391600455,22.7251,88.6,5.416,0.07641083521444696,22.759,81.1,5.46,0.0841553637484587,22.7928,108.7,5.408,0.062189512419503226,22.793,68.7,5.412,0.09847161572052401,22.8267,77.6,5.532,0.08911082474226806,22.1171,95.3,5.532,0.07256033578174187,22.466,46.6,5.556,0.14903433476394848,22.4211,56.2,5.58,0.12411032028469751,22.635,28.7,5.54,0.2412891986062718,22.7597,39.4,5.58,0.1770304568527919,22.771,37.8,5.536,0.18306878306878308,22.7597,25.2,5.544,0.27499999999999997,22.793
10-24-2025-Fri 17-25-41-PM,93.2,5.444,0.07301502145922746,22.523,119.4,5.44,0.056951423785594646,22.9283,103.7,5.444,0.06562198649951784,22.737,87.2,5.492,0.07872706422018348,22.8267,87.9,5.428,0.07718998862343572,22.804,79.3,5.468,0.08619167717528374,22.7928,105.4,5.416,0.06423149905123339,22.906,68.5,5.42,0.09890510948905108,22.8267,77.0,5.536,0.08987012987012986,22.1171,93.4,5.536,0.0740899357601713,22.5,45.9,5.56,0.1514161220043573,22.4549,55.4,5.584,0.1259927797833935,22.691,28.4,5.544,0.24401408450704223,22.7928,39.3,5.588,0.17773536895674305,22.894,37.6,5.544,0.18430851063829784,23.0976,24.9,5.552,0.278714859437751,22.962
10-24-2025-Fri 17-25-44-PM,92.7,5.448,0.07346278317152104,22.557,117.6,5.452,0.05795068027210885,22.9621,101.2,5.456,0.0673913043478261,22.737,85.9,5.5,0.080034924330617,22.7928,87.0,5.436,0.07810344827586208,22.759,78.3,5.472,0.08735632183908047,22.7597,102.6,5.424,0.06608187134502924,22.906,68.4,5.432,0.09926900584795322,22.8267,76.3,5.544,0.09082568807339451,22.151,92.0,5.54,0.07527173913043479,22.523,45.6,5.564,0.15252192982456142,22.4549,54.3,5.588,0.12863720073664825,22.658,28.3,5.552,0.24522968197879855,22.7251,39.2,5.592,0.17831632653061222,22.872,36.7,5.548,0.18896457765667574,23.1315,24.4,5.556,0.2846311475409836,22.979
10-24-2025-Fri 17-34-58-PM,84.2,5.472,0.0812351543942993,17.271,118.2,5.468,0.057825719120135365,19.5497,105.2,5.472,0.06501901140684412,18.233,84.5,5.512,0.08153846153846153,19.178,87.3,5.452,0.07806414662084765,19.279,78.8,5.488,0.0870558375634518,20.3939,111.7,5.44,0.06087735004476276,19.651,65.1,5.448,0.1046082949308756,19.9545,68.3,5.568,0.10190336749633967,14.9931,93.5,5.568,0.07443850267379679,16.838,43.4,5.592,0.16105990783410135,15.9712,52.9,5.612,0.13260869565217392,17.805,26.6,5.58,0.26221804511278196,18.266,37.7,5.62,0.18633952254641908,19.088,36.6,5.58,0.1905737704918033,18.6039,24.0,5.58,0.290625,19.279
10-24-2025-Fri 17-35-01-PM,81.1,5.5,0.08477188655980272,17.204,113.3,5.492,0.06059135039717564,19.4481,98.1,5.496,0.07003058103975536,18.132,80.6,5.54,0.0859181141439206,19.1103,82.4,5.48,0.08313106796116505,19.245,74.7,5.516,0.09230254350736278,20.2923,104.8,5.468,0.06521946564885496,19.572,63.4,5.472,0.1078864353312303,19.786,63.7,5.588,0.1096546310832025,14.96,89.3,5.588,0.07821948488241882,16.748,41.1,5.604,0.17043795620437954,15.8365,50.7,5.628,0.13875739644970414,17.76,25.9,5.596,0.27007722007722007,18.3337,36.6,5.632,0.1923497267759563,19.088,36.2,5.592,0.19309392265193367,18.6377,22.3,5.596,0.31367713004484304,19.212
10-24-2025-Fri 17-35-03-PM,79.7,5.508,0.08638644918444165,17.086,109.8,5.504,0.06265938069216757,19.4142,94.4,5.508,0.0729343220338983,18.064,79.0,5.552,0.08784810126582278,19.0764,80.7,5.492,0.08506815365551423,19.201,72.6,5.528,0.09517906336088156,20.1577,99.2,5.48,0.06905241935483872,19.493,63.2,5.488,0.10854430379746836,19.7182,62.3,5.596,0.11227929373996791,14.7576,86.7,5.596,0.08068050749711649,16.625,40.1,5.612,0.17493765586034912,15.7019,49.0,5.636,0.14377551020408164,17.715,25.4,5.604,0.27578740157480314,18.3676,36.1,5.64,0.19529085872576177,19.043,35.5,5.6,0.1971830985915493,18.6039,22.0,5.608,0.31863636363636366,19.161
10-24-2025-Fri 17-35-06-PM,78.8,5.52,0.08756345177664974,16.951,106.9,5.512,0.06445275958840037,19.2796,91.9,5.516,0.0750272034820457,17.963,78.0,5.556,0.08903846153846154,19.0433,79.4,5.504,0.08664987405541559,19.201,71.0,5.536,0.09746478873239436,20.2246,95.7,5.492,0.07173458725182863,19.414,63.1,5.496,0.10887480190174326,19.6505,61.3,5.6,0.11419249592169656,14.6222,84.2,5.6,0.0831353919239905,16.49,39.9,5.616,0.17593984962406015,15.5672,48.3,5.636,0.14585921325051762,17.648,25.2,5.608,0.2781746031746032,18.3337,35.6,5.644,0.1981741573033708,18.975,35.0,5.6,0.19999999999999996,18.3676,21.7,5.612,0.32327188940092166,19.009
