Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
08-28-2025-Thu 19-34-34-PM,0.0,0.82,-0.1,1.024,-0.2,1.364,-0.2,0.8,-0.4,0.792,-0.1,1.032,-0.4,0.792,-0.1,0.94
08-28-2025-Thu 19-34-36-PM,0.1,0.82,-0.2,1.024,-0.4,1.364,0.0,0.796,-0.3,0.792,-0.4,1.028,-0.3,0.792,-0.2,0.936
08-28-2025-Thu 19-34-39-PM,
08-28-2025-Thu 19-34-41-PM,-0.3,0.82,-0.1,1.02,-0.3,1.36,-0.3,0.8,-0.1,0.788,-0.2,1.028,-0.1,0.792,-0.1,0.932
08-28-2025-Thu 19-34-44-PM,-0.3,0.82,-0.1,1.016,-0.1,1.36,-0.6,0.804,-0.1,0.792,-0.1,1.028,0.0,0.792,0.0,0.928
08-28-2025-Thu 19-34-46-PM,0.0,0.816,0.1,1.012,-0.1,1.356,-0.2,0.8,-0.2,0.788,-0.5,1.028,-0.3,0.788,-0.1,0.928
08-28-2025-Thu 19-34-48-PM,-0.2,0.816,-0.1,1.008,-0.1,1.36,-0.2,0.804,-0.4,0.788,-0.2,1.024,-0.1,0.788,-0.1,0.928
08-28-2025-Thu 19-34-51-PM,-0.5,0.816,0.1,1.008,-0.3,1.356,0.1,0.8,-0.1,0.792,-0.2,1.024,0.0,0.792,-0.1,0.924
08-28-2025-Thu 19-34-53-PM,-0.1,0.816,-0.2,1.004,-0.2,1.352,0.1,0.8,-0.4,0.792,0.0,1.024,-0.2,0.792,-0.2,0.924
08-28-2025-Thu 19-34-55-PM,-0.1,0.816,-0.1,1.0,0.1,1.352,-0.3,0.8,-0.3,0.788,0.0,1.024,-0.4,0.792,-0.1,0.92
08-28-2025-Thu 19-34-58-PM,-0.3,0.816,-0.4,1.0,-0.3,1.352,0.0,0.8,-0.4,0.788,-0.4,1.02,-0.3,0.792,-0.2,0.916
08-28-2025-Thu 19-35-00-PM,-0.2,0.816,-0.1,0.996,-0.5,1.352,-0.4,0.8,-0.3,0.792,-0.1,1.02,-0.1,0.792,-0.2,0.916
08-28-2025-Thu 19-35-02-PM,-0.1,0.812,-0.1,0.996,-0.1,1.352,-0.2,0.8,-0.4,0.788,0.2,1.02,-0.5,0.792,-0.3,0.916
