Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
08-28-2025-Thu 19-37-03-PM,
08-28-2025-Thu 19-37-06-PM,
08-28-2025-Thu 19-37-08-PM,-0.2,1.116,0.1,1.176,-0.1,1.492,-0.1,0.856,-0.2,0.916,-0.1,1.216,-0.1,0.856,-0.2,1.292
08-28-2025-Thu 19-37-11-PM,-0.2,1.112,-0.3,1.172,-0.2,1.488,-0.1,0.856,-0.3,0.912,-0.2,1.212,-0.1,0.848,-0.3,1.284
08-28-2025-Thu 19-37-13-PM,0.2,1.108,-0.1,1.168,-0.3,1.484,-0.4,0.848,-0.3,0.908,0.0,1.208,-0.4,0.848,-0.1,1.284
08-28-2025-Thu 19-37-15-PM,0.2,1.1,-0.2,1.164,-0.3,1.48,-0.4,0.844,-0.3,0.9,0.0,1.2,0.0,0.844,0.1,1.272
08-28-2025-Thu 19-37-18-PM,0.0,1.092,-0.2,1.168,-0.2,1.48,-0.1,0.84,-0.2,0.896,0.1,1.2,-0.3,0.84,0.0,1.268
08-28-2025-Thu 19-37-20-PM,-0.3,1.088,-0.2,1.164,-0.3,1.476,-0.2,0.832,-0.2,0.888,0.0,1.196,-0.1,0.832,0.0,1.264
08-28-2025-Thu 19-37-22-PM,-0.1,1.084,-0.2,1.16,0.0,1.476,-0.4,0.828,-0.4,0.884,-0.2,1.188,-0.2,0.828,-0.2,1.26
08-28-2025-Thu 19-37-25-PM,0.2,1.076,0.1,1.16,-0.1,1.472,-0.2,0.828,-0.3,0.88,-0.2,1.188,-0.5,0.824,-0.1,1.252
08-28-2025-Thu 19-37-27-PM,-0.2,1.068,-0.1,1.164,-0.4,1.472,-0.5,0.824,-0.5,0.88,0.0,1.18,-0.2,0.82,-0.3,1.248
08-28-2025-Thu 19-37-29-PM,0.0,1.056,-0.1,1.16,-0.4,1.464,-0.1,0.82,-0.3,0.872,-0.4,1.18,-0.2,0.82,-0.2,1.244
08-28-2025-Thu 19-37-32-PM,-0.3,1.056,0.0,1.156,-0.1,1.464,-0.3,0.82,0.0,0.872,-0.1,1.176,-0.2,0.816,-0.2,1.236
08-28-2025-Thu 19-37-34-PM,0.1,1.048,-0.1,1.156,-0.2,1.46,-0.1,0.812,-0.4,0.868,-0.2,1.172,0.0,0.812,0.0,1.232
08-28-2025-Thu 19-37-37-PM,0.2,1.04,-0.2,1.156,-0.1,1.46,-0.6,0.808,-0.3,0.86,-0.1,1.164,0.0,0.812,-0.2,1.228
08-28-2025-Thu 19-37-39-PM,-0.2,1.032,-0.3,1.156,-0.4,1.456,0.0,0.816,-0.2,0.86,0.0,1.164,0.1,0.808,-0.1,1.224
08-28-2025-Thu 19-37-41-PM,-0.2,1.024,-0.1,1.152,-0.1,1.46,-0.3,0.808,-0.3,0.856,-0.4,1.16,0.0,0.812,-0.1,1.22
08-28-2025-Thu 19-37-44-PM,-0.2,1.02,-0.1,1.156,-0.3,1.456,-0.4,0.804,0.0,0.852,-0.2,1.156,-0.2,0.804,0.1,1.212
08-28-2025-Thu 19-37-48-PM,Power On
