timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2026-01-22T17:54:38,0.551183,10946,6381.006, |, 0.584216, 11602, 6781.406
2026-01-22T17:54:39,0.563268,11186,6527.492, |, 0.592273, 11762, 6879.063
2026-01-22T17:54:40,0.530236,10530,6127.096, |, 0.58341, 11586, 6771.637
2026-01-22T17:54:41,0.558434,11090,6468.900, |, 0.593884, 11794, 6898.594
2026-01-22T17:54:42,0.604358,12002,7025.549, |, 0.601941, 11954, 6996.250
2026-01-22T17:54:43,0.602746,11970,7006.016, |, 0.601941, 11954, 6996.250
2026-01-22T17:54:44,0.606775,12050,7054.846, |, 0.599524, 11906, 6966.953
2026-01-22T17:54:45,0.545543,10834,6312.648, |, 0.586633, 11650, 6810.699
2026-01-22T17:54:46,0.542321,10770,6273.584, |, 0.58341, 11586, 6771.637
2026-01-22T17:54:47,0.568908,11298,6595.854, |, 0.592273, 11762, 6879.063
2026-01-22T17:54:48,0.568908,11298,6595.854, |, 0.595495, 11826, 6918.125
2026-01-22T17:54:49,0.59469,11810,6908.359, |, 0.601941, 11954, 6996.250
2026-01-22T17:54:50,0.593078,11778,6888.830, |, 0.596301, 11842, 6927.891
2026-01-22T17:54:51,0.55924,11106,6478.664, |, 0.588244, 11682, 6830.234
2026-01-22T17:54:52,0.544738,10818,6302.881, |, 0.58905, 11698, 6839.996
2026-01-22T17:54:53,0.5536,10994,6410.305, |, 0.593078, 11778, 6888.830
2026-01-22T17:54:54,0.575353,11426,6673.980, |, 0.596301, 11842, 6927.891
2026-01-22T17:54:55,0.584216,11602,6781.406, |, 0.599524, 11906, 6966.953
2026-01-22T17:54:56,0.59469,11810,6908.359, |, 0.601135, 11938, 6986.486
2026-01-22T17:54:57,0.573742,11394,6654.447, |, 0.58905, 11698, 6839.996
2026-01-22T17:54:58,0.536681,10658,6205.225, |, 0.585021, 11618, 6791.168
2026-01-22T17:54:59,0.556017,11042,6439.602, |, 0.587438, 11666, 6820.465
2026-01-22T17:55:00,0.571325,11346,6625.152, |, 0.597107, 11858, 6937.658
2026-01-22T17:55:01,0.593078,11778,6888.830, |, 0.600329, 11922, 6976.719
2026-01-22T17:55:02,0.578576,11490,6713.043, |, 0.597912, 11874, 6947.422
2026-01-22T17:55:03,0.5536,10994,6410.305, |, 0.584216, 11602, 6781.406
2026-01-22T17:55:04,0.537487,10674,6214.986, |, 0.58341, 11586, 6771.637
2026-01-22T17:55:05,0.546349,10850,6322.412, |, 0.585021, 11618, 6791.168
2026-01-22T17:55:06,0.572936,11378,6644.682, |, 0.597912, 11874, 6947.422
2026-01-22T17:55:07,0.593884,11794,6898.594, |, 0.601941, 11954, 6996.250
2026-01-22T17:55:08,0.614831,12210,7152.502, |, 0.608386, 12082, 7074.377
2026-01-22T17:55:09,0.520567,10338,6009.908, |, 0.570519, 11330, 6615.385
2026-01-22T17:55:10,0.455308,9042,5218.879, |, 0.5536, 10994, 6410.305
2026-01-22T17:55:11,0.585021,11618,6791.168, |, 0.600329, 11922, 6976.719
2026-01-22T17:55:12,0.608386,12082,7074.377, |, 0.606775, 12050, 7054.846
2026-01-22T17:55:13,0.603552,11986,7015.781, |, 0.608386, 12082, 7074.377
2026-01-22T17:55:14,0.545543,10834,6312.648, |, 0.573742, 11394, 6654.447
2026-01-22T17:55:15,0.564074,11202,6537.258, |, 0.589855, 11714, 6849.762
2026-01-22T17:55:16,0.532653,10578,6156.396, |, 0.582604, 11570, 6761.871
2026-01-22T17:55:17,0.552794,10978,6400.539, |, 0.589855, 11714, 6849.762
2026-01-22T17:55:18,0.593884,11794,6898.594, |, 0.60758, 12066, 7064.611
2026-01-22T17:55:19,0.587438,11666,6820.465, |, 0.605163, 12018, 7035.314
2026-01-22T17:55:20,0.574548,11410,6664.213, |, 0.59469, 11810, 6908.359
2026-01-22T17:55:21,0.543932,10802,6293.115, |, 0.584216, 11602, 6781.406
2026-01-22T17:55:22,0.560851,11138,6498.195, |, 0.582604, 11570, 6761.871
2026-01-22T17:55:23,0.548766,10898,6351.709, |, 0.590661, 11730, 6859.527
2026-01-22T17:55:24,0.60758,12066,7064.611, |, 0.601135, 11938, 6986.486
2026-01-22T17:55:25,0.575353,11426,6673.980, |, 0.593884, 11794, 6898.594
2026-01-22T17:55:26,0.584216,11602,6781.406, |, 0.589855, 11714, 6849.762
2026-01-22T17:55:27,0.566491,11250,6566.557, |, 0.58905, 11698, 6839.996
2026-01-22T17:55:28,0.54796,10882,6341.943, |, 0.58905, 11698, 6839.996
2026-01-22T17:55:29,0.568102,11282,6586.088, |, 0.58905, 11698, 6839.996
2026-01-22T17:55:30,0.55924,11106,6478.664, |, 0.595495, 11826, 6918.125
2026-01-22T17:55:31,0.588244,11682,6830.234, |, 0.593884, 11794, 6898.594
2026-01-22T17:55:32,0.565685,11234,6556.791, |, 0.59469, 11810, 6908.359
2026-01-22T17:55:33,0.58341,11586,6771.637, |, 0.587438, 11666, 6820.465
2026-01-22T17:55:34,0.568908,11298,6595.854, |, 0.586633, 11650, 6810.699
2026-01-22T17:55:35,0.57777,11474,6703.275, |, 0.58905, 11698, 6839.996
